Date,Open,High,Low,Close
03/19/2022,"42,079","42,350","41,558","42,061"
03/18/2022,"40,877","42,079","40,181","42,079"
03/17/2022,"40,894","41,454","40,549","40,876"
03/16/2022,"39,719","41,694","38,906","40,894"
03/15/2022,"38,802","39,893","38,170","39,719"
03/14/2022,"38,879","39,281","37,589","38,801"
03/13/2022,"39,135","39,300","38,413","38,879"
03/12/2022,"38,360","39,386","38,357","39,135"
03/11/2022,"39,642","40,222","38,252","38,360"
03/10/2022,"41,813","42,120","38,604","39,642"
03/09/2022,"38,540","42,577","38,406","41,812"
03/08/2022,"37,545","39,371","37,515","38,541"
03/07/2022,"38,862","39,545","37,179","37,545"
03/06/2022,"39,464","39,679","38,132","38,862"
03/05/2022,"39,511","39,626","38,594","39,463"
03/04/2022,"42,002","42,698","39,083","39,513"
03/03/2022,"43,834","44,325","41,867","42,005"
03/02/2022,"44,109","45,304","43,362","43,834"
03/01/2022,"41,905","44,953","41,538","44,110"
02/28/2022,"37,967","41,933","37,045","41,905"
02/27/2022,"39,362","39,841","37,459","37,967"
02/26/2022,"39,137","40,237","38,609","39,363"
02/25/2022,"38,404","39,690","37,800","39,135"
02/24/2022,"37,673","39,645","34,339","38,402"
02/23/2022,"37,935","39,250","37,435","37,671"
02/22/2022,"38,242","38,361","36,377","37,935"
02/21/2022,"38,335","39,487","37,243","38,242"
02/20/2022,"40,083","40,148","38,014","38,336"
02/19/2022,"40,025","40,455","39,670","40,083"
02/18/2022,"40,900","40,965","39,477","39,984"
02/17/2022,"44,130","44,195","40,825","40,901"
02/16/2022,"44,161","44,768","43,362","44,130"
02/15/2022,"42,202","44,521","42,137","44,161"
02/14/2022,"42,445","42,848","41,594","42,201"
02/13/2022,"42,633","42,757","41,781","42,450"
02/12/2022,"42,347","43,034","41,790","42,633"
02/11/2022,"44,130","44,211","42,084","42,346"
02/10/2022,"44,781","45,844","43,250","44,128"
02/09/2022,"44,292","44,833","43,187","44,780"
02/08/2022,"44,174","45,488","42,721","44,292"
02/07/2022,"41,601","44,508","41,550","44,173"
02/06/2022,"41,679","42,115","41,152","41,600"
02/05/2022,"40,604","41,926","40,408","41,684"
02/04/2022,"36,354","40,901","36,354","40,604"
02/03/2022,"37,599","37,621","36,270","36,354"
02/02/2022,"38,587","38,899","37,091","37,599"
02/01/2022,"38,498","39,262","38,048","38,587"
01/31/2022,"37,711","38,742","36,681","38,498"
01/30/2022,"38,370","38,717","37,389","37,711"
01/29/2022,"37,777","38,662","37,354","38,371"
01/28/2022,"35,567","37,857","35,552","37,777"
01/27/2022,"37,051","37,197","35,550","35,567"
01/26/2022,"36,887","38,921","36,456","37,096"
01/25/2022,"37,234","37,544","35,730","36,888"
01/24/2022,"35,302","37,500","32,984","37,250"
01/23/2022,"35,297","36,142","34,631","35,302"
01/22/2022,"38,414","38,430","34,065","35,296"
01/21/2022,"42,721","42,727","37,618","38,420"
01/20/2022,"41,631","43,494","41,631","42,721"
01/19/2022,"41,767","42,662","41,167","41,630"
01/18/2022,"42,132","42,429","41,303","41,765"
01/17/2022,"43,060","43,282","41,865","42,133"
01/16/2022,"43,525","43,534","42,620","43,060"
01/15/2022,"43,132","43,794","42,610","43,527"
01/14/2022,"42,742","43,388","41,800","43,132"
01/13/2022,"43,839","44,419","42,349","42,737"
01/12/2022,"42,792","44,081","42,481","43,838"
01/11/2022,"41,712","43,106","41,300","42,789"
01/10/2022,"42,463","42,542","39,678","41,712"
01/09/2022,"40,966","42,787","40,947","42,467"
01/08/2022,"41,911","42,215","40,562","40,966"
01/07/2022,"43,207","43,233","40,746","41,913"
01/06/2022,"43,943","44,296","42,435","43,207"
01/05/2022,"46,264","47,059","43,776","43,944"
01/04/2022,"45,909","47,502","45,569","46,265"
01/03/2022,"47,018","47,567","45,718","45,909"
01/02/2022,"47,414","47,957","46,701","47,018"
01/01/2022,"45,870","47,928","45,798","47,414"
12/31/2021,"47,204","48,570","45,663","45,869"
